"Model","Origin","Price","MPG","Hroom","Rseat","Trunk","Weight","Length","Turn","Displa","Gratio"
"AMC Concord      ","A",4099,22,2.5,27.5,11,2930,186,40,121,3.58
"AMC Pacer        ","A",4749,17,3,25.5,11,3350,173,40,258,2.53
"AMC Spirit       ","A",3799,22,3,18.5,12,2640,168,35,121,3.08
"Audi 5000        ","E",9690,17,3,27,15,2830,189,37,131,3.2
"Audi Fox         ","E",6295,23,2.5,28,11,2070,174,36,97,3.7
"BMW 320I         ","E",9735,25,2.5,26,12,2650,177,34,121,3.64
"Buick Century    ","A",4816,20,4.5,29,16,3250,196,40,196,2.93
"Buick Electra    ","A",7827,15,4,31.5,20,4080,222,43,350,2.41
"Buick Le sabre   ","A",5788,18,4,30.5,21,3670,218,43,231,2.73
"Buick Opel       ","A",4453,26,3,24,10,2230,170,34,304,2.87
"Buick Regal      ","A",5189,20,2,28.5,16,3280,200,42,196,2.93
"Buick Riviera    ","A",10372,16,3.5,30,17,3880,207,43,231,2.93
"Buick Skylark    ","A",4082,19,3.5,27,13,3400,200,42,231,3.08
"Cad. Deville     ","A",11385,14,4,31.5,20,4330,221,44,425,2.28
"Cad. Eldorado    ","A",14500,14,3.5,30,16,3900,204,43,350,2.19
"Cad. Seville     ","A",15906,21,3,30,13,4290,204,45,350,2.24
"Chev. Chevette   ","A",3299,29,2.5,26,9,2110,163,34,231,2.93
"Chev. Impala     ","A",5705,16,4,29.5,20,3690,212,43,250,2.56
"Chev. Malibu     ","A",4504,22,3.5,28.5,17,3180,193,41,200,2.73
"Chev. Monte Carlo","A",5104,22,2,28.5,16,3220,200,41,200,2.73
"Chev. Monza      ","A",3667,24,2,25,7,2750,179,40,151,2.73
"Chev. Nova       ","A",3955,19,3.5,27,13,3430,197,43,250,2.56
"Datsun 200-SX    ","J",6229,23,1.5,21,6,2370,170,35,119,3.89
"Datsun 210       ","J",4589,35,2,23.5,8,2020,165,32,85,3.7
"Datsun 510       ","J",5079,24,2.5,22,8,2280,170,34,119,3.54
"Datsun 810       ","J",8129,21,2.5,27,8,2750,184,38,146,3.55
"Dodge Colt       ","A",3984,30,2,24,8,2120,163,35,98,3.54
"Dodge Diplomat   ","A",5010,18,4,29,17,3600,206,46,318,2.47
"Dodge Magnum XE  ","A",5886,16,3.5,26,16,3870,216,48,318,2.71
